addr	size	name	string_hints
0004a684	112	FUN_0004a684	
0004a6f4	72	FUN_0004a6f4	
0004a73c	144	FUN_0004a73c	
0004a80c	452	FUN_0004a80c	s_%d_%d_0x%08X_0007a960
0004aaf8	296	FUN_0004aaf8	PTR_s_+++bootecc_%d,chip->ecc.size_%d,_0004ac28,s_+++bootecc_%d,chip->ecc.size_%d,_0007a9ad
0004aebc	60	FUN_0004aebc	
0004afbc	1672	FUN_0004afbc	s_ubi_attach_mtd_dev_00072dac,s_UBI_error:_%s:_refuse_attaching_m_0007aa38,s_UBI:_attaching_mtd%d_to_ubi%d_0007aa86,s_io_init_00072dbf
0004b6e0	196	FUN_0004b6e0	s_UBI_error:_%s:_%s_reference_coun_0007ad7d,s_ubi_detach_mtd_dev_00072ddb,s_UBI:_mtd%d_is_detached_from_ubi%_0007adb3
0004b7b4	328	FUN_0004b7b4	s_UBI_error:_%s:_too_many_MTD_devi_0007add6,s_ubi_init_00072dee,s_UBI_error:_%s:_cannot_create_UBI_0007ae0a,s_UBI_error:_%s:_cannot_attach_mtd_0007ae32
0004b914	64	FUN_0004b914	
0004b958	420	FUN_0004b958	s_UBI_error:_too_many_parameters,_m_0007ae91,s_UBI_error:_parameter_"%s"_is_too_0007aebd,s_UBI_warning:_empty_'mtd='_parame_0007aef0,s_UBI_error:_too_many_arguments_at_0007af21
0004bb1c	8	FUN_0004bb1c	
0004bb24	824	FUN_0004bb24	s_UBI_error:_%s:_bad_CRC_at_record_0007af70,s_vtbl_check_00072df7,s_UBI_error:_%s:_volumes_%d_and_%d_0007afa7,s_UBI_error:_%s:_volume_table_chec_0007afe1
0004be70	716	FUN_0004be70	s_UBI:_create_volume_table_(copy_#_0007b020
0004c148	200	FUN_0004c148	
0004c214	1964	FUN_0004c214	s_ubi_read_volume_table_00072e02,s_UBI_error:_%s:_the_layout_volume_0007b045,s_process_lvol_00072e18,s_UBI_warning:_%s:_volume_table_co_0007b075
0004ca18	8	FUN_0004ca18	
0004ca24	1232	FUN_0004ca24	s_%s_%d_0007b2bb,s_UBI_error:_%s:_cannot_create_vol_0007b2c1,s_ubi_create_volume_00072e4f
0004d048	600	FUN_0004d048	s_UBI:_reserve_more_%d_PEBs_00077d04
0004d2a4	80	FUN_0004d2a4	s_%s_%d_0007b2bb
0004d300	20	FUN_0004d300	
0004d314	232	FUN_0004d314	
0004d3fc	196	FUN_0004d3fc	
0004d4c0	376	FUN_0004d4c0	
0004d638	216	FUN_0004d638	
0004d710	660	FUN_0004d710	
0004d9a4	292	FUN_0004d9a4	
0004de7c	276	FUN_0004de7c	s_UBI_warning:_%s:_mark_volume_%d_a_0007b325,s_ubi_leb_read_00072e83
0004e080	216	FUN_0004e080	
0004e23c	160	FUN_0004e23c	
0004e324	8	FUN_0004e324	
0004e32c	48	FUN_0004e32c	
0004e35c	60	FUN_0004e35c	
0004e398	216	FUN_0004e398	
0004e470	60	FUN_0004e470	
0004e4ac	60	FUN_0004e4ac	
0004e4e8	20	FUN_0004e4e8	
0004e4fc	32	FUN_0004e4fc	s_ubi_ro_mode_00072e90,s_UBI_warning:_%s:_switch_to_read-_0007b353
0004e524	40	FUN_0004e524	
0004e54c	132	FUN_0004e54c	
0004e5d0	572	FUN_0004e5d0	s_UBI_warning:_%s:_bad_VID_header_a_0007b37e,s_ubi_eba_read_leb_00072e9c,s_UBI:_force_data_checking_0007b3b3,s_UBI_warning:_%s:_CRC_error:_calc_0007b3cd
0004e81c	1528	FUN_0004e81c	s_UBI_warning:_%s:_failed_to_write_0007b40a,s_ubi_eba_write_leb_00072ead,s_UBI:_recover_PEB_%d,_move_data_t_0007b43b,s_UBI:_data_was_successfully_recov_0007b465
0004ee44	964	FUN_0004ee44	s_ubi_eba_write_leb_st_00072ecb,s_UBI_warning:_%s:_failed_to_write_0007b4c7,s_UBI_warning:_%s:_failed_to_write_0007b56c,s_UBI:_try_another_PEB_0007b556
0004f21c	904	FUN_0004f21c	s_ubi_eba_atomic_leb_change_00072ee0,s_UBI_warning:_%s:_failed_to_write_0007b4c7,s_UBI_warning:_%s:_failed_to_write_0007b56c,s_UBI:_try_another_PEB_0007b556
